[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 17:30:50] - 74 	 87.1 	 	 0.1000 	 41.9588 	 	 4.3195 	 0.7560 	 3.2247 	 	 0.5302 	 3.6534 	 0.1783 	 3.2538 	 0.4868 	 3.5383 	 0.1390
[2025/04/22 17:34:39] - 75 	 87.5 	 	 0.1000 	 42.2213 	 	 4.3315 	 0.7604 	 3.2328 	 	 0.5356 	 3.6546 	 0.1953 	 3.2715 	 0.4884 	 3.5423 	 0.1534
[2025/04/22 17:38:26] - 76 	 86.2 	 	 0.1000 	 42.4881 	 	 4.3409 	 0.7696 	 3.1943 	 	 0.5508 	 3.6896 	 0.1639 	 3.2104 	 0.5110 	 3.5609 	 0.1296
[2025/04/22 17:42:13] - 77 	 86.8 	 	 0.1000 	 42.7541 	 	 4.3500 	 0.7777 	 3.1572 	 	 0.5623 	 3.6572 	 0.1867 	 3.2906 	 0.4783 	 3.5390 	 0.1479
[2025/04/22 17:45:59] - 78 	 86.1 	 	 0.1000 	 43.0085 	 	 4.3625 	 0.7810 	 3.3092 	 	 0.5465 	 3.7624 	 0.1661 	 3.3562 	 0.4908 	 3.6448 	 0.1310
[2025/04/22 17:49:46] - 79 	 86.3 	 	 0.1000 	 43.2726 	 	 4.3709 	 0.7907 	 3.2090 	 	 0.5531 	 3.6893 	 0.1977 	 3.2705 	 0.5082 	 3.5759 	 0.1570
[2025/04/22 17:53:33] - 80 	 86.2 	 	 0.1000 	 43.5264 	 	 4.3824 	 0.7962 	 3.2638 	 	 0.5621 	 3.7077 	 0.2002 	 3.3089 	 0.5114 	 3.5963 	 0.1620
[2025/04/22 17:57:19] - 81 	 86.4 	 	 0.1000 	 43.7817 	 	 4.3931 	 0.7996 	 3.2194 	 	 0.5657 	 3.7469 	 0.1761 	 3.3437 	 0.4892 	 3.6309 	 0.1384
[2025/04/22 18:01:07] - 82 	 86.3 	 	 0.1000 	 44.0319 	 	 4.4035 	 0.8065 	 3.3784 	 	 0.5305 	 3.7956 	 0.1708 	 3.4264 	 0.4752 	 3.6908 	 0.1357
[2025/04/22 18:04:53] - 83 	 86.1 	 	 0.1000 	 44.2890 	 	 4.4127 	 0.8132 	 3.2902 	 	 0.5658 	 3.7555 	 0.1932 	 3.3559 	 0.5024 	 3.6472 	 0.1583
